N_total,E_release,rep,latency_ms
1000,1,0,9.077343999933873
1000,1,1,10.435999000037555
1000,1,2,11.314121999930649
1000,1,3,10.880752000048233
1000,1,4,10.875333000058163
1000,1,5,11.337968000020737
1000,1,6,11.51258200002303
1000,1,7,11.199964000070395
1000,1,8,5.715554000062184
1000,1,9,6.100524999965273
1000,1,10,5.866597000022011
1000,1,11,5.757107999897926
1000,1,12,6.276290000073459
1000,1,13,5.75755299996672
1000,1,14,6.093086000078074
1000,1,15,5.437900000060836
1000,1,16,9.334276000004138
1000,1,17,16.90418599991972
1000,1,18,9.8395250000749
1000,1,19,9.535997999932988
1000,1,20,8.106484999984787
1000,1,21,5.552992999923845
1000,1,22,6.040457999915816
1000,1,23,5.545351000023402
1000,1,24,5.596809999929064
1000,1,25,5.766018000031181
1000,1,26,5.595560999950067
1000,1,27,5.54259299997284
1000,1,28,5.407811999930345
1000,1,29,5.6175859999711975
1000,10,0,104.67846500000633
1000,10,1,98.32869900003516
1000,10,2,65.30512300003011
1000,10,3,56.950787999994645
1000,10,4,56.878590999986045
1000,10,5,56.94732999995722
1000,10,6,56.2099499999249
1000,10,7,77.17733399999815
1000,10,8,76.6377109999894
1000,10,9,61.506076000000576
1000,10,10,61.54938400004539
1000,10,11,59.91634300005444
1000,10,12,60.287840999990294
1000,10,13,65.3736829999616
1000,10,14,60.39794000002985
1000,10,15,60.39384500002143
1000,10,16,60.65858499994192
1000,10,17,63.330645999940316
1000,10,18,62.038450999921224
1000,10,19,64.31637900004716
1000,10,20,57.31539999999313
1000,10,21,58.0831180000132
1000,10,22,56.14226500006225
1000,10,23,55.928967999989254
1000,10,24,55.81696199999442
1000,10,25,56.56518299997515
1000,10,26,56.66582100002415
1000,10,27,58.74964599991017
1000,10,28,56.10847199989166
1000,10,29,55.18799499998295
1000,50,0,355.47102900000027
1000,50,1,326.5392729999803
1000,50,2,301.63609099997757
1000,50,3,311.72865899998214
1000,50,4,298.8651119999304
1000,50,5,282.58462400003737
1000,50,6,283.12902099992243
1000,50,7,283.5464330000832
1000,50,8,283.3341159999918
1000,50,9,283.68925400002354
1000,50,10,297.4032160000206
1000,50,11,290.762653999991
1000,50,12,281.2977979999687
1000,50,13,281.3359499999706
1000,50,14,279.5857659999683
1000,50,15,283.425819999934
1000,50,16,280.4335360000323
1000,50,17,288.3521539999947
1000,50,18,283.88395399997535
1000,50,19,280.3866959999368
1000,50,20,283.09838699999545
1000,50,21,280.0689590000047
1000,50,22,282.71243899996534
1000,50,23,276.4613559999134
1000,50,24,280.24497700005213
1000,50,25,282.2740029999977
1000,50,26,283.13909199994214
1000,50,27,282.8554019999956
1000,50,28,286.74475100001473
1000,50,29,285.1979910000182
