N,rep,latency_ms
1,0,13.975128999845765
1,1,14.651713000148447
1,2,14.330991000406357
1,3,14.11259099995732
1,4,14.418588999888016
1,5,13.594559000011941
1,6,13.852478999979212
1,7,13.910265000049549
1,8,14.738748000127089
1,9,13.951105000160169
1,10,13.644680000197695
1,11,13.939187999767455
1,12,13.48995999978797
1,13,14.482141999906162
1,14,14.209481999841955
1,15,15.537628999936715
1,16,14.221375000033731
1,17,14.38876900010655
1,18,14.295550000042567
1,19,13.657794000209833
1,20,15.225139999984094
1,21,13.78258700015067
1,22,14.378973000020778
1,23,13.78633100011939
1,24,13.78483899998173
1,25,14.042988000255718
1,26,13.76134300016929
1,27,14.049687000351696
1,28,13.802310999835754
1,29,15.333919000113383
10,0,158.40171200034092
10,1,140.40546600017478
10,2,141.95436300042275
10,3,138.68055599959916
10,4,138.5700639998504
10,5,138.96164800007682
10,6,155.0070869998308
10,7,158.30263099996955
10,8,140.72275199987416
10,9,144.5224130002316
10,10,142.98166400021728
10,11,139.06762099986736
10,12,137.8958310001508
10,13,138.45674599997437
10,14,141.4756649996889
10,15,136.53568900008395
10,16,137.672855999881
10,17,143.11496199979956
10,18,141.2802320000992
10,19,141.5600289997201
10,20,141.39081699977396
10,21,138.8942959997621
10,22,136.42170200000692
10,23,138.84086600000956
10,24,137.4900929999967
10,25,137.12016899989976
10,26,135.9191239998836
10,27,138.70345399982398
10,28,137.5091169998086
10,29,138.58115899984114
50,0,697.1807360000639
50,1,692.7489190002234
50,2,695.0667639998755
50,3,698.5096140001588
50,4,694.3572469999708
50,5,695.2969029998712
50,6,695.1877500000592
50,7,692.6847560002898
50,8,695.726114000081
50,9,690.6059769999047
50,10,692.8527280001617
50,11,699.4457800001328
50,12,698.4274179999375
50,13,695.4949810001381
50,14,695.47696599966
50,15,692.8774520001753
50,16,696.8920099998286
50,17,693.8821030003055
50,18,691.7864829997598
50,19,700.695554000049
50,20,698.3978079997541
50,21,697.4316880000515
50,22,693.6918300002617
50,23,690.5879789997016
50,24,692.1731389998058
50,25,699.0004860003864
50,26,700.6336859999465
50,27,697.1712370000205
50,28,700.6732959998772
50,29,702.5243670000236
