N_existing,rep,append1_latency_ms
10,0,9.631594000893529
10,1,9.625877000871697
10,2,17.918143999850145
10,3,15.408852999826195
10,4,9.676231000412372
10,5,10.862819999601925
10,6,9.454734999962966
10,7,11.506790999192162
10,8,10.190553000938962
10,9,10.936377999314573
10,10,11.84270799967635
10,11,10.550715000135824
10,12,12.794215999747394
10,13,10.05134899969562
10,14,10.89789599973301
10,15,10.472891999597778
10,16,10.30484299917589
10,17,9.99447100002726
10,18,9.56612300069537
10,19,9.603141999832587
10,20,9.466545001487248
10,21,9.575843001584872
10,22,16.52821999959997
10,23,18.23944100033259
10,24,17.390152999723796
10,25,16.579477000050247
10,26,10.19337199977599
10,27,9.365892001369502
10,28,9.293741000874434
10,29,9.37437900029181
50,0,9.965740000552614
50,1,10.46380400111957
50,2,9.677209998699254
50,3,9.548725000058766
50,4,9.25808799911465
50,5,9.5979570014606
50,6,9.304008999606594
50,7,9.284669999033213
50,8,10.153328999876976
50,9,9.526752000965644
50,10,9.702997998829233
50,11,9.259148000637651
50,12,9.284914998715976
50,13,9.524393999527092
50,14,9.326026000053389
50,15,9.697370998765109
50,16,11.824545999843394
50,17,9.823586000493378
50,18,9.86288300009619
50,19,9.90412099963578
50,20,9.6149000000878
50,21,9.935383999618352
50,22,10.857782999664778
50,23,9.906974999466911
50,24,10.643790999893099
50,25,9.934286999850883
50,26,10.065147000204888
50,27,10.047771998870303
50,28,9.425385000213282
50,29,10.723722998591256
100,0,14.30643800085818
100,1,10.22044900128094
100,2,9.833734000494587
100,3,9.840312999585876
100,4,9.920020000208751
100,5,10.605246998238727
100,6,16.775834999862127
100,7,9.890436000205227
100,8,10.99418599915225
100,9,9.503105000476353
100,10,9.522229000140214
100,11,9.640694999689003
100,12,9.550165999826277
100,13,9.998580000683432
100,14,10.86693499928515
100,15,9.951549000106752
100,16,9.56143300027179
100,17,10.105272000146215
100,18,11.68459700056701
100,19,9.666541998740286
100,20,9.49821799986239
100,21,10.499805999643286
100,22,10.655561000021407
100,23,9.54475199978333
100,24,9.503945000687963
100,25,10.33480699879874
100,26,9.62210000034247
100,27,9.317535001173383
100,28,9.78797799871245
100,29,9.423489000255358
